Email Subjects,,Countries of origin of spam mails,,Languages of spam mails,,Mail categories of spam mails,,Names of attachments,,Names of suspicious attachments,,Types of attachments,,Names of identified Malware,,Types of suspicious attachments,
GOOGLE ALERT SPAM,191,United States,"5,099",English,"8,684",Adult Content,"4,148",X.jpg,128,purchase order.pdf,6,Media,"1,228",Agent,15,Archive,46
IHR KOSTENLOSES SHELLNOTFALLSET WARTET AUF SIE,141,Germany,"1,910",German,"5,252",Advertisement,"3,019",logo.png,87,awX rX.docx,3,Document,46,Cryp,3,Document,18
SIE WURDEN FÜR EINE NINJA AIRFRYER ROTATOR AUSGEWÄHLT,141,Netherlands,"1,192",Japanese,"2,216",Miscellaneous,"2,698",nllogo.png,84,poXfromserviceincX.docx,3,Archive,40,Crysan,3,Media,14
CAN YOU MEET ME TOMORROW,132,China,"1,135",Chinese,689,Phishing,"2,618",linkedinX.png,61,mtX usdX.rar,3,Miscellaneous,4,Minerva,3,Miscellaneous,2
X BIS X MINUTEN KÖNNEN IHR LEBEN KOMPLETT VERÄNDERN,125,Brazil,"1,057",Miscellaneous,260,Finance,"1,869",icongallery.png,35,nhpXhcivXcipl.zip,3,,,PWSH,3,,
X,104,Ukraine,721,Russian,74,Scam,"1,216",XacXeXdcXaXe.jpg,32,scanneddocumentX X.zip,3,,,Zmutzy,3,,
BUSINESS FUNDING,103,French,682,Portuguese,42,Health,919,poXfromserviceincX.docx,15,statement.rar,3,,,AutoIt,3,,
WELCOME TO TIKTOK CREATORS CODE X,102,United Kingdom,620,French,39,Blackmail,888,,,Xtransdraftpdf.shtm,3,,,CVE-2017-11882,2,,
NUR HEUTE X RABATT AUF TRAGBAREN LTEROUTER RYOKO,95,Russia,570,Estonian,19,,,,,atlas.jpg,1,,,Formbook,2,,
SOFORTIGER ZWEISPRACHIGER SPRACHÜBERSETZER,66,Latvia,274,Spanish,16,,,,,,,,,Krypt,2,,
